Scan:      9          RBS2055 2015-10-20 +23 57 20.0
          RADIO                  Ta*   
        km/s-BAR                 XX
    -424.8312554208479810     -0.0007844
    -423.6235199339842552      0.0085634
    -422.4157844472536567      0.0024355
    -421.2080489603899309     -0.0026534
    -420.0003134735928256      0.0017339
    -418.7925779867290430      0.0100487
    -417.5848424999984445      0.0046250
    -416.3771070131347756      0.0106722
    -415.1693715263376134      0.0126697
    -413.9616360394738876      0.0018539
    -412.7539005527432892     -0.0003562
    -411.5461650658795634      0.0048415
    -410.3384295790824012      0.0003598
    -409.1306940922852959      0.0052405
    -407.9229586054881338      0.0059975
    -406.7152231186244080      0.0026730
    -405.5074876318272459      0.0054547
    -404.2997521450300837     -0.0075681
    -403.0920166581663580     -0.0008654
    -401.8842811713691958     -0.0047498
    -400.6765456845720905      0.0109407
    -399.4688101977749284      0.0077176
    -398.2610747109112026      0.0066381
    -397.0533392241140405      0.0055157
    -395.8456037373169352      0.0081979
    -394.6378682505197162      0.0150628
    -393.4301327636560472      0.0047819
    -392.2223972769254488      0.0006825
    -391.0146617900616661      0.0012458
    -389.8069263032645608      0.0074407
    -388.5991908164007782      0.0104203
    -387.3914553296702366      0.0073304
    -386.1837198428065108      0.0049539
    -384.9759843560093486     -0.0058360
    -383.7682488691456228      0.0078154
    -382.5605133824150812      0.0093090
    -381.3527778955513554     -0.0000594
    -380.1450424087541933      0.0005506
    -378.9373069219570880      0.0005204
    -377.7295714351598690     -0.0070631
    -376.5218359482962001     -0.0019520
    -375.3141004614989811      0.0068431
    -374.1063649747018189     -0.0006533
    -372.8986294878381500      0.0053901
    -371.6908940010409310      0.0045649
    -370.4831585142438257      0.0115964
    -369.2754230274466636      0.0005426
    -368.0676875405829378     -0.0008479
    -366.8599520537857757      0.0018026
    -365.6522165669886704      0.0001901
    -364.4444810801915082     -0.0001762
    -363.2367455933277824      0.0154505
    -362.0290101065971839      0.0023038
    -360.8212746197334582      0.0090808
    -359.6135391329363529      0.0001180
    -358.4058036460725702      0.0050624
    -357.1980681593419718      0.0009933
    -355.9903326724783028      0.0113370
    -354.7825971856810838      0.0054910
    -353.5748616988839785     -0.0004051
    -352.3671262120868164      0.0104421
    -351.1593907252230906      0.0157153
    -349.9516552384259285      0.0057798
    -348.7439197516287663      0.0147628
    -347.5361842648316610      0.0216281
    -346.3284487779679353      0.0095129
    -345.1207132911707731      0.0046386
    -343.9129778043736110     -0.0015501
    -342.7052423175098852      0.0083636
    -341.4975068307127231      0.0097346
    -340.2897713439156178      0.0224189
    -339.0820358571184556      0.0193310
    -337.8743003702547298      0.0256011
    -336.6665648834575677      0.0197336
    -335.4588293966604056      0.0145766
    -334.2510939098632434      0.0183066
    -333.0433584229995745      0.0166447
    -331.8356229362689191      0.0141807
    -330.6278874494051934      0.0106529
    -329.4201519626080881      0.0169723
    -328.2124164757443623      0.0126239
    -327.0046809890137638      0.0150420
    -325.7969455021500380      0.0058506
    -324.5892100153528759      0.0145515
    -323.3814745285557706      0.0082963
    -322.1737390417586084     -0.0019964
    -320.9660035548948827      0.0134167
    -319.7582680680977205      0.0067619
    -318.5505325813005584      0.0081678
    -317.3427970944368326      0.0083515
    -316.1350616076396705      0.0073143
    -314.9273261208425652      0.0052337
    -313.7195906340453462      0.0099389
