Scan:    409          RBS2061 2015-10-23 +21 48 02.0
          RADIO                  Ta*   
        km/s-BAR                 XX
    -370.0944646345155888     -0.0001201
    -368.8867247804377030      0.0060659
    -367.6789849264264376     -0.0099408
    -366.4712450724151154      0.0108598
    -365.2635052183372295      0.0104807
    -364.0557653643259641      0.0155900
    -362.8480255102480783      0.0143314
    -361.6402856561702492      0.0048482
    -360.4325458021589270      0.0077570
    -359.2248059481476048      0.0119874
    -358.0170660940697189      0.0117162
    -356.8093262400584535      0.0021021
    -355.6015863859806245      0.0110500
    -354.3938465319693023      0.0116482
    -353.1861066778914733      0.0033588
    -351.9783668238135874      0.0022347
    -350.7706269698022652      0.0029729
    -349.5628871157909998      0.0097815
    -348.3551472617131139      0.0177630
    -347.1474074077017917      0.0141200
    -345.9396675536239059      0.0114526
    -344.7319276995460200      0.0143157
    -343.5241878455347546      0.0126171
    -342.3164479915234892      0.0118094
    -341.1087081374456034      0.0185365
    -339.9009682834342811      0.0057289
    -338.6932284293563953      0.0196615
    -337.4854885753451299      0.0145047
    -336.2777487212672440      0.0118680
    -335.0700088672559787      0.0101788
    -333.8622690131781496      0.0121860
    -332.6545291591667706      0.0259829
    -331.4467893051555052      0.0183102
    -330.2390494510776762      0.0136668
    -329.0313095969997903      0.0020904
    -327.8235697429884681      0.0187758
    -326.6158298889105822      0.0227340
    -325.4080900348993168      0.0138152
    -324.2003501808880515      0.0086009
    -322.9926103268101656      0.0045854
    -321.7848704727322797      0.0020360
    -320.5771306187209575      0.0063223
    -319.3693907646430716     -0.0048103
    -318.1616509106318063      0.0084150
    -316.9539110566205409      0.0025185
    -315.7461712025426550      0.0004486
    -314.5384313485313328      0.0101196
    -313.3306914944534469      0.0097795
    -312.1229516403756179      0.0014742
    -310.9152117863642957      0.0001416
    -309.7074719323529735      0.0106114
    -308.4997320782751444      0.0116205
    -307.2919922242638222      0.0065782
    -306.0842523701859932      0.0121489
    -304.8765125161081073      0.0071899
    -303.6687726620968419      0.0026960
    -302.4610328080855197      0.0119613
    -301.2532929540076339      0.0115380
    -300.0455530999963685      0.0073802
    -298.8378132459184826     -0.0013315
    -297.6300733919072172     -0.0000604
    -296.4223335378293314      0.0029875
    -295.2145936838180091      0.0068247
    -294.0068538297401233      0.0054060
