Scan:     24      FBS0150+396 2015-10-21 +02 44 51.0
          RADIO                  Ta*   
        km/s-BAR                 XX
    -347.4291899353853523     -0.0020979
    -346.2215133729617946     -0.0029581
    -345.0138368104716733     -0.0047519
    -343.8061602480480587     -0.0077934
    -342.5984836856245579     -0.0071584
    -341.3908071231344366      0.0000494
    -340.1831305606442584      0.0016287
    -338.9754539982207575     -0.0011417
    -337.7677774357971430     -0.0047750
    -336.5601008733070216     -0.0032140
    -335.3524243108168434     -0.0040641
    -334.1447477484598494     -0.0084295
    -332.9370711859697280     -0.0026107
    -331.7293946234796067     -0.0018998
    -330.5217180610560490      0.0067770
    -329.3140414986324345      0.0071726
    -328.1063649361423700      0.0093982
    -326.8986883737188123      0.0037557
    -325.6910118112286341     -0.0154019
    -324.4833352488051332     -0.0039719
    -323.2756586863815187     -0.0035349
    -322.0679821238913974     -0.0033891
    -320.8603055614678397      0.0056909
    -319.6526289989777183      0.0002221
    -318.4449524365541038      0.0021544
    -317.2372758740640393     -0.0016906
    -316.0295993116404247     -0.0087917
    -314.8219227492168670     -0.0099737
    -313.6142461867267457     -0.0009552
    -312.4065696242366243      0.0084755
    -311.1988930618796303     -0.0014618
    -309.9912164993895090      0.0113640
    -308.7835399368993308      0.0071092
    -307.5758633744757731      0.0146202
    -306.3681868120522154      0.0037760
    -305.1605102495620940     -0.0067725
    -303.9528336870719158     -0.0112457
    -302.7451571246484150     -0.0057406
    -301.5374805622248005      0.0027020
    -300.3298039997346791     -0.0007304
    -299.1221274373111214      0.0112026
    -297.9144508748210001      0.0050099
    -296.7067743123973855     -0.0028112
    -295.4990977499738847     -0.0002363
    -294.2914211874837065     -0.0024635
    -293.0837446250602056      0.0018333
    -291.8760680626365911     -0.0040023
    -290.6683915001464698     -0.0005811
    -289.4607149376562916     -0.0041927
    -288.2530383752327907      0.0045044
    -287.0453618128091762     -0.0059004
    -285.8376852503190548     -0.0067567
    -284.6300086878289335      0.0019036
    -283.4223321254719394      0.0066643
    -282.2146555629817612      0.0067974
    -281.0069790004916968     -0.0020654
    -279.7993024380680822     -0.0015760
    -278.5916258756445814      0.0027889
    -277.3839493131544032     -0.0083796
    -276.1762727507308455      0.0058488
    -274.9685961882406673     -0.0026004
    -273.7609196258171664      0.0079176
    -272.5532430633935519     -0.0001618
    -271.3455665009034306     -0.0019229
    -270.1378899384798729      0.0027250
    -268.9302133759897515     -0.0045718
    -267.7225368135661938      0.0012896
    -266.5148602510760725     -0.0039813
    -265.3071836886524579     -0.0002374
    -264.0995071262289571     -0.0064402
    -262.8918305637387789     -0.0028627
    -261.6841540012486576     -0.0070639
    -260.4764774388916635      0.0012920
    -259.2688008764014853     -0.0028031
    -258.0611243139114208     -0.0077205
    -256.8534477514878631     -0.0055097
    -255.6457711890642486     -0.0023125
    -254.4380946265741272      0.0039668
    -253.2304180640839775     -0.0023027
    -252.0227415016604482     -0.0117848
    -250.8150649392368905      0.0006790
    -249.6073883767467407     -0.0086617
    -248.3997118143231830     -0.0036717
    -247.1920352518995969      0.0060181
    -245.9843586894094756      0.0035785
    -244.7766821269858895      0.0005498
    -243.5690055644957681     -0.0005722
    -242.3613290020722104      0.0015464
    -241.1536524396486243      0.0032918
    -239.9459758771585314     -0.0030651
    -238.7382993146683816     -0.0079697
    -237.5306227523113876     -0.0047343
    -236.3229461898212378     -0.0174247
    -235.1152696273311165      0.0099600
    -233.9075930649075588      0.0094055
    -232.6999165024839726      0.0009137
    -231.4922399399938513     -0.0055854
    -230.2845633775037015     -0.0079408
    -229.0768868150801438     -0.0011860
    -227.8692102526566146      0.0053551
    -226.6615336901664648     -0.0020767
    -225.4538571277429071      0.0035973
    -224.2461805653193210      0.0048864
    -223.0385040028291996     -0.0054350
    -221.8308274404056135     -0.0166321
    -220.6231508779154922      0.0022126
    -219.4154743154919345      0.0092496
    -218.2077977530017847      0.0008293
    -217.0001211905782270     -0.0094899
    -215.7924446280881057     -0.0033717
    -214.5847680656645480     -0.0060499
    -213.3770915032409903     -0.0026864
    -212.1694149407508405     -0.0025128
    -210.9617383783272828     -0.0066890
    -209.7540618159036967     -0.0036535
    -208.5463852534135754     -0.0058301
    -207.3387086909234256     -0.0024954
    -206.1310321284998679     -0.0058123
    -204.9233555660763102      0.0009274
    -203.7156790035861889      0.0001505
    -202.5080024410960391     -0.0006257
    -201.3003258786724814      0.0005469
    -200.0926493162489237      0.0043098
    -198.8849727537587739      0.0119964
    -197.6772961913352162     -0.0018844
    -196.4696196289116585     -0.0008438
    -195.2619430664215088      0.0095056
    -194.0542665039979511     -0.0017852
    -192.8465899415078297     -0.0094850
    -191.6389133790842720      0.0014808
    -190.4312368166607143      0.0032564
    -189.2235602541705646      0.0067308
    -188.0158836916804148      0.0133500
    -186.8082071293234208      0.0166516
    -185.6005305668332994      0.0075097
    -184.3928540043431497     -0.0029490
    -183.1851774419195920      0.0051616
    -181.9775008794960343      0.0121446
    -180.7698243170059129      0.0177284
    -179.5621477545157632      0.0055469
    -178.3544711920922055      0.0030902
    -177.1467946296686478      0.0125156
    -175.9391180671784980      0.0116583
    -174.7314415047549403      0.0104531
    -173.5237649423313826      0.0222408
    -172.3160883798412328      0.0311578
    -171.1084118174176751      0.0251624
    -169.9007352549275254      0.0246228
    -168.6930586925039961      0.0280241
    -167.4853821300138463      0.0228906
    -166.2777055675902886      0.0272541
    -165.0700290051001389      0.0224270
    -163.8623524426765812      0.0216464
    -162.6546758802530235      0.0207820
    -161.4469993177628737      0.0251765
