#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#Product Type, Mission, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Proposal ID, Principal Investigator, Calibration Level, Start Time, End Time, Exposure Length, Min. Wavelength, Max. Wavelength, Release Date, s_region, jpegURL, Product Group ID, Object ID
#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, float, float, float, string, string, string, string
dataproduct_type,obs_collection,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,t_obs_release,s_region,jpegURL,obsid,objID
spectrum,FUSE,FUV,,,UV,30Dor-S-R136,H II REGION,f9140102000,84.715417,-69.1,F914,Chu,2,53938.34803241,53938.48963777,8256,90,119,NaN,CIRCLE ICRS 84.715417 -69.09999999999999 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/f9140102/f914010200000specttagf.gif,3001002152,3001001032
spectrum,FUSE,FUV,,,UV,30Dor-S1-2,H II REGION,f9140401000,84.716708,-69.162361,F914,Chu,2,53762.19947917,53762.5133884,14075,90,119,NaN,CIRCLE ICRS 84.716708 -69.162361 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/f9140401/f914040100000specttagf.gif,3001002153,3001001033
spectrum,FUSE,FUV,,,UV,30Dor-S2,H II REGION,f9140501000,84.8625,-69.088333,F914,Chu,2,53762.56003472,53762.8511509,19143,90,119,NaN,CIRCLE ICRS 84.8625 -69.08833300000001 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/f9140501/f914050100000specttagf.gif,3001002154,3001001034
spectrum,FUSE,FUV,,,UV,30Dor-S3,H II REGION,f9140601000,84.548875,-69.074111,F914,Chu,2,53764.70126157,53764.86408565,7724,90,119,NaN,CIRCLE ICRS 84.548875 -69.074111 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/f9140601/f914060100000specttagf.gif,3001002155,3001001035
spectrum,FUSE,FUV,,,UV,32CYG,B3-B5 V-IV,p1640102000,303.867917,47.714194,P164,Wilkinson,2,52465.18703704,52465.30042824,4025,90,119,NaN,CIRCLE ICRS 303.867917 47.714194 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/p1640102/p164010200000spechistf.gif,3001003679,3001001936
spectrum,FUSE,FUV,,,UV,32CYG,B3-B5 V-IV,p1640103000,303.867917,47.714194,P164,Wilkinson,2,52782.29998843,52782.47086806,7758,90,119,NaN,CIRCLE ICRS 303.867917 47.714194 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/p1640103/p164010300000spechistf.gif,3001003680,3001001937
spectrum,FUSE,FUV,,,UV,32CYG,B3-B5 V-IV,p1640101000,303.867917,47.714194,P164,Wilkinson,2,52126.57653935,52126.68159722,6156,90,119,NaN,CIRCLE ICRS 303.867917 47.714194 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/p1640101/p164010100000spechistf.gif,3001003678,3001004210
spectrum,FUSE,FUV,,,UV,3C066A,QUASAR,d8080401000,35.665,43.035556,D808,Sembach,2,52681.27349537,52681.63244493,9118,90,119,NaN,CIRCLE ICRS 35.665 43.035556 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/d8080401/d808040100000specttagf.gif,3001001507,3001000795
spectrum,FUSE,FUV,,,UV,3C120,SEYFERT GALAXY,p1070801000,68.29625,5.3543333333,P107,Sembach,2,51798.78634259,51798.89280273,6605,90,119,NaN,CIRCLE ICRS 68.29625 5.3543333333 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/p1070801/p107080100000specttagf.gif,3001003308,3001001649
spectrum,FUSE,FUV,,,UV,3C232,QUASAR,p1071402000,149.587292,32.400667,P107,Sembach,2,52031.7852662,52032.15247586,10995,90,119,NaN,CIRCLE ICRS 149.587292 32.400667 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/p1071402/p107140200000specttagf.gif,3001003318,3001004174
spectrum,FUSE,FUV,,,UV,3C249.1,QUASAR,d1170101000,166.057,76.982833,D117,Benjamin,2,52961.00333333,52961.46751935,20693,90,119,NaN,CIRCLE ICRS 166.057 76.982833 0.00277777777778,http://archive.stsci.edu/browse/previews/fuse/d1170101/d117010100000specttagf.gif,3001001373,3001004640
